(15, 3, False),[-0.25070312 -0.40413066]
(23, 13, False),[0. 0.]
(14, 10, False),[-0.56687967 -0.50144882]
(14, 20, False),[0. 0.]
(19, 7, False),[ 0.63047683 -0.73088506]
(29, 17, False),[0. 0.]
(18, 10, False),[-0.24107229 -0.65220365]
(20, 10, False),[ 0.44447855 -0.84295115]
(20, 20, False),[0. 0.]
(15, 1, False),[-0.76149999 -0.62013873]
(15, 17, False),[0. 0.]
(18, 17, False),[0. 0.]
(18, 8, False),[ 0.10548913 -0.553244  ]
(18, 26, False),[0. 0.]
(12, 5, False),[-0.14042053 -0.22342865]
(12, 18, False),[0. 0.]
(6, 1, False),[-0.76608508 -0.48754651]
(13, 1, False),[-0.76563356 -0.55414766]
(13, 21, False),[0. 0.]
(6, 5, False),[-0.1663584  -0.00709971]
(6, 20, False),[0. 0.]
(8, 6, False),[-0.08970035  0.1175921 ]
(17, 6, False),[ 0.00211856 -0.47876276]
(17, 17, False),[0. 0.]
(14, 8, False),[-0.53395342 -0.37028927]
(16, 8, False),[-0.54112762 -0.44898112]
(16, 18, False),[0. 0.]
(11, 1, False),[-0.74761604 -0.09311604]
(11, 21, False),[0. 0.]
(11, 8, False),[-0.52995362  0.23019071]
(20, 8, False),[ 0.79166027 -0.85288465]
(20, 19, False),[0. 0.]
(7, 1, False),[-0.73287876 -0.50032155]
(7, 20, False),[0. 0.]
(15, 10, False),[-0.59872139 -0.53434792]
(16, 10, False),[-0.59126318 -0.56682223]
(16, 20, False),[0. 0.]
(20, 10, True),[ 0.46160139 -0.07135622]
(21, 10, True),[1.0851974  0.03760603]
(21, 20, True),[0. 0.]
(9, 10, False),[-0.50861131 -0.20779296]
(19, 10, False),[-0.01726011 -0.73923681]
(19, 19, False),[0. 0.]
(16, 6, False),[-0.14784133 -0.45532483]
(26, 16, False),[0. 0.]
(12, 4, False),[-0.25634053 -0.20686516]
(18, 4, False),[ 0.18077674 -0.61528261]
(12, 8, False),[-0.52453512 -0.28847633]
(12, 19, False),[0. 0.]
(10, 1, False),[-0.70364409 -0.20435889]
(10, 20, False),[0. 0.]
(11, 9, False),[-0.56022814  0.16805962]
(21, 9, False),[ 0.94279498 -1.        ]
(21, 20, False),[0. 0.]
(22, 13, False),[0. 0.]
(18, 6, False),[ 0.2811664  -0.59508106]
(25, 8, False),[0. 0.]
(9, 6, False),[-0.14878838  0.20134471]
(9, 23, False),[0. 0.]
(10, 2, False),[-0.19689386  0.23998321]
(20, 2, False),[ 0.64135056 -0.85167143]
(6, 10, False),[-0.54465737 -0.37660538]
(6, 19, False),[0. 0.]
(14, 10, True),[-0.50515991 -0.16444416]
(20, 17, True),[0. 0.]
(15, 6, False),[-0.14938967 -0.37761524]
(22, 9, False),[0. 0.]
(20, 9, False),[ 0.75359436 -0.84782715]
(30, 12, False),[0. 0.]
(13, 10, False),[-0.56281337 -0.45876382]
(20, 23, False),[0. 0.]
(10, 4, False),[-0.13064431  0.29763184]
(12, 20, False),[0. 0.]
(20, 18, False),[0. 0.]
(7, 10, False),[-0.60052034 -0.3623276 ]
(7, 19, False),[0. 0.]
(9, 7, False),[-0.5541196   0.19272938]
(19, 17, False),[0. 0.]
(11, 3, False),[-0.2521271  0.2876623]
(21, 3, False),[ 0.8812686 -1.       ]
(21, 17, False),[0. 0.]
(8, 9, False),[-0.6480864  -0.20527013]
(8, 23, False),[0. 0.]
(20, 1, False),[ 0.15244523 -0.90068167]
(18, 21, False),[0. 0.]
(12, 2, True),[-0.23678138  0.13250715]
(12, 2, False),[-0.24055817 -0.25274517]
(18, 10, True),[-0.21904354 -0.17787341]
(18, 18, True),[0. 0.]
(12, 10, False),[-0.59093565 -0.41292435]
(13, 3, False),[-0.26155868 -0.27313445]
(9, 1, False),[-0.70768816 -0.33702414]
(9, 21, False),[0. 0.]
(9, 20, False),[0. 0.]
(21, 10, False),[ 0.88342614 -1.        ]
(21, 21, False),[0. 0.]
(15, 4, False),[-0.19478959 -0.38951159]
(15, 19, False),[0. 0.]
(11, 6, False),[-0.1240219   0.35383255]
(20, 4, True),[0.65476487 0.31750671]
(20, 24, True),[0. 0.]
(20, 22, False),[0. 0.]
(5, 9, False),[-0.50065421 -0.27156324]
(5, 21, False),[0. 0.]
(12, 9, False),[-0.48695055 -0.35126251]
(15, 9, False),[-0.50202538 -0.47748596]
(25, 14, False),[0. 0.]
(13, 6, False),[-0.17416467 -0.19640723]
(13, 23, False),[0. 0.]
(18, 5, False),[ 0.19782016 -0.62519324]
(18, 20, False),[0. 0.]
(13, 17, False),[0. 0.]
(13, 25, False),[0. 0.]
(22, 16, False),[0. 0.]
(17, 1, False),[-0.6400196  -0.66303946]
(17, 21, False),[0. 0.]
(14, 3, False),[-0.24968455 -0.3557593 ]
(14, 22, False),[0. 0.]
(17, 7, False),[-0.10634239 -0.49967788]
(20, 24, False),[0. 0.]
(18, 25, False),[0. 0.]
(8, 2, False),[-0.31613808 -0.02247821]
(8, 22, False),[0. 0.]
(14, 1, False),[-0.7838322  -0.58682341]
(22, 21, False),[0. 0.]
(11, 10, False),[-0.56888338  0.0609045 ]
(14, 4, False),[-0.18645506 -0.34874428]
(19, 4, False),[ 0.41191061 -0.72105192]
(19, 21, False),[0. 0.]
(19, 20, False),[0. 0.]
(12, 6, False),[-0.14512881 -0.19623832]
(12, 25, False),[0. 0.]
(10, 5, False),[-0.12901276  0.32514364]
(10, 24, False),[0. 0.]
(25, 12, False),[0. 0.]
(17, 10, False),[-0.46491275 -0.58634475]
(17, 25, False),[0. 0.]
(15, 2, True),[-0.21965878  0.05993249]
(15, 20, True),[0. 0.]
(8, 10, False),[-0.58299282 -0.30089949]
(26, 20, False),[0. 0.]
(10, 23, False),[0. 0.]
(25, 20, False),[0. 0.]
(21, 9, True),[1.18409802 0.2343575 ]
(19, 9, False),[ 0.29145937 -0.70290361]
(19, 26, False),[0. 0.]
(15, 8, False),[-0.54212338 -0.42790904]
(22, 18, False),[0. 0.]
(10, 18, False),[0. 0.]
(19, 1, False),[-0.11022435 -0.77282518]
(19, 2, False),[ 0.38742078 -0.71081408]
(29, 12, False),[0. 0.]
(6, 6, False),[-0.09120129 -0.00873317]
(16, 19, False),[0. 0.]
(20, 3, False),[ 0.63747436 -0.85447929]
(20, 26, False),[0. 0.]
(16, 7, True),[-0.40106223 -0.00814714]
(16, 17, True),[0. 0.]
(20, 7, False),[ 0.76917877 -0.86577172]
(23, 18, False),[0. 0.]
(14, 1, True),[-0.76958942 -0.30580982]
(17, 1, True),[-0.66191034 -0.38423366]
(17, 21, True),[0. 0.]
(12, 7, True),[-0.49940574  0.18414777]
(12, 7, False),[-0.44792516 -0.2148414 ]
(17, 3, True),[-0.03920534  0.07147436]
(17, 22, True),[0. 0.]
(18, 9, False),[-0.18522585 -0.63168835]
(24, 18, False),[0. 0.]
(11, 22, False),[0. 0.]
(21, 18, True),[0. 0.]
(23, 16, False),[0. 0.]
(25, 17, False),[0. 0.]
(7, 7, False),[-0.37231655 -0.06794166]
(7, 17, False),[0. 0.]
(23, 20, False),[0. 0.]
(11, 18, False),[0. 0.]
(12, 3, True),[-0.24744192  0.16006056]
(12, 3, False),[-0.25341063 -0.23276377]
(12, 23, False),[0. 0.]
(16, 21, False),[0. 0.]
(19, 5, False),[ 0.4497109 -0.722101 ]
(29, 10, False),[0. 0.]
(20, 21, False),[0. 0.]
(13, 8, False),[-0.53473572 -0.33148379]
(13, 18, False),[0. 0.]
(13, 7, False),[-0.49150967 -0.28228617]
(18, 23, False),[0. 0.]
(19, 23, False),[0. 0.]
(6, 9, False),[-0.5141581  -0.29267082]
(18, 7, False),[ 0.40662545 -0.59236291]
(23, 21, False),[0. 0.]
(11, 4, False),[-0.20166156  0.29192778]
(11, 24, False),[0. 0.]
(22, 15, False),[0. 0.]
(21, 17, True),[0. 0.]
(14, 6, False),[-0.16132652 -0.34401504]
(14, 24, False),[0. 0.]
(15, 7, False),[-0.48799813 -0.36943087]
(10, 10, False),[-0.60505425 -0.02643727]
(10, 19, False),[0. 0.]
(15, 23, False),[0. 0.]
(20, 8, True),[0.79066962 0.19175678]
(20, 19, True),[0. 0.]
(20, 6, False),[ 0.70299697 -0.8764731 ]
(16, 10, True),[-0.48851241 -0.23946117]
(16, 18, True),[0. 0.]
